location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_001,35.274988,-2.948076,ML-204,12,Sufficient
IBE_002,42.183429,-8.633829,A-55,12,Sufficient
IBE_003,40.41772,-3.65537,M-23,12,Sufficient
IBE_004,37.22889,-3.666618,A-44,12,Sufficient
IBE_005,36.666964,-4.467195,MA-23,12,Sufficient
IBE_006,38.730063,-0.941009,N-344,12,Sufficient
IBE_007,36.759178,-3.710237,A-7,12,Sufficient
IBE_008,42.433741,2.866135,N-2,12,Sufficient
IBE_009,41.833905,-5.729211,N-630,12,Sufficient
IBE_010,37.904752,-3.782998,A-44,12,Sufficient
IBE_011,42.433055,1.936737,N-152,12,Sufficient
IBE_012,41.298475,-5.231586,A-62,12,Sufficient
IBE_013,39.313508,-6.327687,A-66,12,Sufficient
IBE_014,43.242615,-8.143693,A-6,12,Sufficient
IBE_015,42.948458,-7.620225,N-540A,12,Sufficient
IBE_016,35.877791,-5.338887,N-352,12,Sufficient
IBE_017,41.950765,-6.200467,N-631,12,Sufficient
IBE_018,42.064759,-0.533044,N-330,12,Sufficient
IBE_019,41.980117,0.135858,A-22,12,Sufficient
IBE_020,42.437779,-0.395888,N-330,12,Sufficient
IBE_021,39.384587,-0.397483,V-31,12,Sufficient
IBE_022,42.709698,-8.351585,N-640,12,Sufficient
IBE_023,43.329919,-4.327739,N-634,12,Sufficient
IBE_024,43.103818,-5.024451,N-625,12,Sufficient
IBE_025,42.738765,-4.137242,N-627,12,Sufficient
IBE_026,42.205064,-1.788844,N-232,12,Sufficient
IBE_027,38.385299,-0.455592,A-70,12,Sufficient
IBE_028,43.540395,-6.991869,A-8,12,Sufficient
IBE_029,38.050306,-3.302782,A-32,12,Sufficient
IBE_030,43.454206,-3.829042,S-21,12,Sufficient
IBE_031,40.80543,-4.338844,N-110,12,Sufficient
IBE_032,37.098037,-2.041985,A-7,12,Sufficient
IBE_033,36.897007,-2.416727,A-92,12,Sufficient
IBE_034,36.753349,-3.03968,A-7,12,Sufficient
IBE_035,41.898461,2.770336,N-156,12,Sufficient
IBE_036,43.464349,-5.127345,N-632,12,Sufficient
IBE_037,43.523841,-5.69328,GJ-81,12,Sufficient
IBE_038,43.54713,-6.217358,N-632A,12,Sufficient
IBE_039,42.29236,-7.87729,A-52,12,Sufficient
IBE_040,40.213542,-5.989385,A-66,12,Moderate
IBE_041,41.638915,0.869848,A-2,12,Sufficient
IBE_042,41.314705,1.234017,N-240,12,Sufficient
IBE_043,41.089998,0.643969,N-420A,12,Sufficient
IBE_044,40.641239,-5.631077,A-66,12,Moderate
IBE_045,40.626103,-6.49938,N-620,12,Moderate
IBE_046,41.58125,-3.235856,N-122,12,Moderate
